,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62
36496,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569912.5199,15236854859.469,19926293839.0163,23021477292.2093,21211892259.9904,21790035117.19,27062716577.9111,30591834053.9653,33875881876.3672,37458898243.8609,42327600098.2412,49204456700.4516,58539008786.3684,79279057730.82901,105136007528.76,123709376567.89,152678020452.829,176171284311.76102,200800891870.16397,224969488835.18103,235024598983.26102,263561088977.129,281682304161.041,203304515490.795,209023912696.839,222942790435.29898,268137224729.722,294084112392.66,330397381998.489,425595310000.0,461951782000.0,602860000000.0,400599250000.0,437798577639.752,558111997497.263,769305386182.8491,850426432991.7421,883199625324.675,863723411632.917,599388579985.673,655420645476.906,559372276081.9661,507962487700.024,558319920831.979,669316654017.094,891630175813.342,1107640297889.95,1397084345950.39,1695824571927.15,1667019780934.28,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1793989048409.29,2055505502224.73,
36497,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.275911554300901,5.21605942017887,0.87467259240843,3.4855823042772403,3.0534878936690997,4.15036023303344,4.91526567501121,11.4272823832673,9.7358268899127,8.76994747172606,11.295086843350198,12.0528022500388,13.978691651075803,9.04212031316958,5.209075901144059,9.790410161476071,4.60631806113791,3.23170956333544,6.76628496532688,9.110960155171538,-4.39335720034832,0.580245553394249,-3.40979347371646,5.26914314976874,7.94586174871279,7.988295104862349,3.5996294668090294,-0.102672718383658,3.27945885796417,-3.1023559487503904,1.5119372378998899,-0.46691320980055195,4.66516898877852,5.3345517024736795,4.416731353885059,2.20753552794351,3.39502863721179,0.3383561792702489,0.469066587492819,4.11248423957215,1.38283202786545,3.0540164934866296,1.1398868686460601,5.76441160717755,3.19646411192973,3.9572968292065602,6.060353584609589,5.09085791114556,-0.12577515362765698,7.54179863570165,3.98527761463821,1.9331078892995102,3.01030558066186,0.508210254249747,-3.54976724660112,-3.46816285562616,0.9760856813759491,
36498,Brazil,BRA,GDP per capita (Current US$),NY.GDP.PCAP.CD,210.027470429478,204.92930153477297,260.225266127099,291.950589001802,261.331083055664,260.964692542291,315.27738237919,346.880100387651,374.08326175821196,403.065252307126,444.026267601819,503.478766140281,584.5506847713659,772.818791304736,1000.63425269098,1149.5861205932301,1385.29852974104,1560.8630604471398,1737.3675521191199,1901.00132504395,1939.7908764714498,2124.96298887959,2218.89051545923,1565.2978321106198,1573.9671393322,1643.1965026761,1936.0163352669897,2081.66526186895,2294.40169466025,2901.2854492707397,3093.03747863815,3966.7954884916203,2591.7971162780605,2786.1713557447697,3494.64054135109,4740.11981336276,5156.809075137589,5271.41222246603,5075.63121131187,3469.50223662228,3739.1161387651796,3146.94890366357,2819.6481201182,3059.58650690802,3623.0499120929903,4770.18384511293,5860.145829417521,7313.55777336115,8787.61065756604,8553.381368256949,11224.1540829355,13167.472891753301,12291.466852329098,12216.9044643396,12026.619390631298,8750.22299607324,8639.36574344537,9821.407686410079,
36515,Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,101.7248208,100.5434981,135.02759509999998,192.1217696,225.9915563,147.1421659,228.3351346,629.1147272000001,1430.723231,2947.73293,432.7846016,951.6484598999999,1927.983498,2075.887182,66.00787631,15.7574361,6.925316945,3.1985918910000004,4.857966241000001,7.044702451,6.837830757000001,8.450220696,14.71532583,6.599124847000001,6.86734958,4.1836805319999995,3.637027934,5.663098519,4.886408444,5.038316946,6.6361986570000004,5.40196475,6.201899612999999,6.332092342,9.027601288,8.739478522999999,,
36681,Brazil,BRA,"Rural population, female (% of total)",SP.RUR.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,16.6607798523094,,,,,14.554076771176698,,,,,12.5581364268149,,,,,10.699791835247199,,,,,8.9412910804848,,,,,8.13679878802205,,,,,7.3940884176015595,,,,,6.741694409254731,,,
36682,Brazil,BRA,"Rural population, male (% of total)",SP.RUR.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,17.8715469726715,,,,,15.5832715473892,,,,,13.519726291029599,,,,,11.6905819347586,,,,,9.86676599524369,,,,,9.02859107563043,,,,,8.27058040059423,,,,,7.5710259356372,,,
36717,Brazil,BRA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.616999626159698,8.19200038909912,7.53399991989136,12.916999816894501,7.372000217437741,8.76900005340576,9.98200035095215,11.6700000762939,12.2559995651245,17.8920001983643,11.980999946594201,11.6490001678467,12.4420003890991,11.770000457763699,12.0279998779297,11.088000297546401,10.887000083923303,12.503999710083,11.116999626159698,11.1920003890991,9.170000076293949,9.07800006866455,8.79100036621094,8.14299964904785,10.107000350952099,13.538999557495101,15.0769996643066,
36718,Brazil,BRA,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,,,,,,,,,,,,,,,,,1.89999997615814,2.75999999046326,2.79999995231628,2.75999999046326,,4.15999984741211,5.09000015258789,4.63000011444092,4.40000009536743,3.85999989509583,2.7100000381469704,3.95000004768372,4.25,2.97000002861023,3.45000004768372,,7.949999809265139,7.34000015258789,,7.19000005722046,8.60999965667725,9.829999923706051,11.5,12.0900001525879,19.8899993896484,11.8999996185303,11.5500001907349,12.3199996948242,11.6599998474121,12.0,11.0,10.789999961853,10.039999961853,11.0100002288818,8.51000022888184,9.079999923706051,8.18000030517578,8.46000003814697,8.8100004196167,10.0299997329712,13.4399995803833,15.279999732971199,
36719,Brazil,BRA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.213000297546388,5.4380002021789595,5.1739997863769505,9.09899997711182,5.098999977111821,5.5430002212524405,6.23199987411499,7.116000175476071,7.8649997711181605,11.2440004348755,7.53299999237061,7.30999994277954,7.78499984741211,6.79500007629395,7.30999994277954,6.38100004196167,6.00600004196167,7.18400001525879,6.14900016784668,6.264999866485599,4.88000011444092,5.80299997329712,5.66699981689453,5.58300018310547,7.1939997673034695,10.1599998474121,11.230999946594201,
36720,Brazil,BRA,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,1.92999994754791,2.11999988555908,2.15000009536743,2.75,,3.9000000953674303,4.699999809265139,4.61999988555908,3.9000000953674303,3.17000007629395,2.22000002861023,3.33999991416931,3.5399999618530296,3.00999999046326,3.82999992370605,,5.40999984741211,5.15999984741211,,5.09999990463257,5.53000020980835,6.21000003814697,7.099999904632571,7.84000015258789,12.220000267028801,7.4899997711181605,7.300000190734861,7.78000020980835,6.76999998092651,6.900000095367429,6.349999904632571,5.9899997711181605,6.099999904632571,6.119999885559079,5.21999979019165,4.84999990463257,4.57999992370605,4.94000005722046,5.30999994277954,7.199999809265139,10.1899995803833,11.7600002288818,
